"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";10988;27;19408;22;30396;-8420;-0,277010132912225
"2";"AFG";2392174;68;55243;3;2447417;2336931;0,954856078878262
"3";"AGO";336037;57;66645;13;402682;269392;0,668994392597633
"4";"AIA";1298;19;1955;9;3253;-657;-0,201967414694128
"5";"ALB";587910;54;21249;6;609159;566661;0,930234963285448
"6";"AND";4788;25;20319;18;25107;-15531;-0,618592424423468
"7";"ARE";76009;52;2156051;33;2232060;-2080042;-0,931893407883301
"8";"ARG";523362;77;1170322;132;1693684;-646960;-0,381983888375872
"9";"ARM";447562;59;100549;15;548111;347013;0,633107162600276
"10";"ASM";905;8;11237;10;12142;-10332;-0,850930653928513
"11";"ATG";30141;40;15946;53;46087;14195;0,308004426410918
"12";"AUS";299877;109;3761066;212;4060943;-3461189;-0,852311642886886
"13";"AUT";307917;74;906321;193;1214238;-598404;-0,492822659149195
"14";"AZE";533816;49;131039;16;664855;402777;0,605811793548969
"15";"BDI";317700;43;148255;7;465955;169445;0,363650996340848
"16";"BEL";304687;81;938425;170;1243112;-633738;-0,509799599714265
"17";"BEN";307634;48;186427;10;494061;121207;0,245328006055932
"18";"BES";6816;11;7652;45;14468;-836;-0,0577826928393696
"19";"BFA";697025;37;352430;8;1049455;344595;0,328356146761891
"20";"BGD";2619167;77;824329;17;3443496;1794838;0,521225521969533
"21";"BGR";875415;67;84534;185;959949;790881;0,823878143526375
"22";"BHR";35942;45;201929;33;237871;-165987;-0,697802590479714
"23";"BHS";27091;44;30558;75;57649;-3467;-0,0601398116185884
"24";"BIH";851434;49;18238;13;869672;833196;0,958057750508238
"25";"BLR";851053;56;579529;58;1430582;271524;0,189799675936088
"26";"BLZ";39797;40;29033;15;68830;10764;0,156385297108819
"27";"BMU";9189;27;9359;35;18548;-170;-0,00916540866939832
"28";"BOL";462167;49;72442;180;534609;389725;0,728990720320833
"29";"BRA";1007462;86;366781;158;1374243;640681;0,466206486043589
"30";"BRB";60873;49;11789;21;72662;49084;0,675511271366051
"31";"BRN";19382;26;47493;19;66875;-28111;-0,420351401869159
"32";"BTN";23985;25;7374;24;31359;16611;0,529704391083899
"33";"BWA";35445;32;43279;33;78724;-7834;-0,099512219907525
"34";"CAF";382179;39;30923;25;413102;351256;0,85028879066187
"35";"CAN";812773;128;4172235;201;4985008;-3359462;-0,673913060921868
"36";"CHE";376677;86;1227060;179;1603737;-850383;-0,530250907723648
"37";"CHL";344386;65;497063;210;841449;-152677;-0,181445340121624
"38";"CHN";5764171;143;324057;20;6088228;5440114;0,893546365214969
"39";"CIV";562458;54;1104856;16;1667314;-542398;-0,325312448644946
"40";"CMR";194140;55;248778;22;442918;-54638;-0,123359177093728
"41";"COD";851686;67;475322;8;1327008;376364;0,283618486098049
"42";"COG";118460;51;178014;21;296474;-59554;-0,200874275653177
"43";"COK";11373;9;1456;10;12829;9917;0,773014264556863
"44";"COL";1561295;65;565342;91;2126637;995953;0,468322990712566
"45";"COM";61511;23;5801;5;67312;55710;0,827638459710007
"46";"CPV";102798;38;6915;35;109713;95883;0,87394383527932
"47";"CRI";86660;51;208709;153;295369;-122049;-0,413208562848505
"48";"CUB";885702;74;2363;36;888065;883339;0,994678317465501
"49";"CUW";40649;15;23752;43;64401;16897;0,262371702302759
"50";"CYM";1072;11;14084;57;15156;-13012;-0,858537872789654
"51";"CYP";108386;45;105171;154;213557;3215;0,0150545287674953
"52";"CZE";508977;60;219460;191;728437;289517;0,397449607859019
"53";"DEU";2144264;124;6203072;136;8347336;-4058808;-0,486239921335382
"54";"DJI";9186;25;51633;3;60819;-42447;-0,697923346322695
"55";"DMA";45790;51;3152;33;48942;42638;0,871194475092967
"56";"DNK";134941;74;365512;198;500453;-230571;-0,460724583527324
"57";"DOM";914752;66;198560;98;1113312;716192;0,643298554223794
"58";"DZA";903340;74;113271;20;1016611;790069;0,77715960185361
"59";"ECU";625997;51;151546;85;777543;474451;0,610192619572165
"60";"EGY";1252452;85;220610;133;1473062;1031842;0,700474250235224
"61";"ERI";350589;48;6076;21;356665;344513;0,965928812751461
"62";"ESH";92336;11;2113;7;94449;90223;0,955256275873752
"63";"ESP";760148;89;3182911;173;3943059;-2422763;-0,614437420287143
"64";"EST";114475;51;109614;147;224089;4861;0,0216922740518276
"65";"ETH";408293;66;599948;10;1008241;-191655;-0,190088480829484
"66";"FIN";177667;64;185873;181;363540;-8206;-0,0225724817076525
"67";"FJI";117158;42;5617;14;122775;111541;0,908499287314193
"68";"FLK";934;5;807;7;1741;127;0,0729465824238943
"69";"FRA";1174163;138;4315585;206;5489748;-3141422;-0,572234281063539
"70";"FRO";7917;11;2955;30;10872;4962;0,456401766004415
"71";"FSM";10983;14;438;12;11421;10545;0,923299185710533
"72";"GAB";24337;36;143505;34;167842;-119168;-0,710001072437173
"73";"GBR";2334072;146;4940748;205;7274820;-2606676;-0,358314844903379
"74";"GEO";427695;50;42545;46;470240;385150;0,819049846886696
"75";"GHA";460310;68;179279;43;639589;281031;0,439393110262997
"76";"GIB";7350;17;4380;3;11730;2970;0,253196930946292
"77";"GIN";232636;51;46145;145;278781;186491;0,668951614349615
"78";"GLP";7037;16;52424;24;59461;-45387;-0,763307041590286
"79";"GMB";40506;40;99358;7;139864;-58852;-0,420780186466854
"80";"GNB";48812;38;12990;11;61802;35822;0,579625254846121
"81";"GNQ";58346;28;4474;6;62820;53872;0,857561286214581
"82";"GRC";496189;67;651174;212;1147363;-154985;-0,135079307943519
"83";"GRD";42817;38;2498;15;45315;40319;0,889749531060355
"84";"GRL";10702;15;1840;17;12542;8862;0,706585871471855
"85";"GTM";609860;51;41222;49;651082;568638;0,873373860742579
"86";"GUF";2590;18;60278;16;62868;-57688;-0,917605140930203
"87";"GUM";1198;10;37392;11;38590;-36194;-0,937911376004146
"88";"GUY";281658;54;6775;16;288433;274883;0,953022018978411
"89";"HKG";533882;41;1787933;29;2321815;-1254051;-0,540116675962555
"90";"HND";472028;47;18391;42;490419;453637;0,924998827533191
"91";"HRV";511628;57;276339;71;787967;235289;0,298602606454331
"92";"HTI";729794;59;7659;21;737453;722135;0,979228506765855
"93";"HUN";316381;65;245594;159;561975;70787;0,125961119266871
"94";"IDN";2040973;87;132348;19;2173321;1908625;0,878206670804727
"95";"IMN";6553;6;18892;8;25445;-12339;-0,484928276675182
"96";"IND";6069261;130;2504087;36;8573348;3565174;0,415843845368227
"97";"IRL";444458;71;419112;204;863570;25346;0,02935025533541
"98";"IRN";599908;75;1159336;7;1759244;-559428;-0,317993410806005
"99";"IRQ";994657;71;142665;22;1137322;851992;0,749121181160656
"100";"ISL";21405;43;24408;161;45813;-3003;-0,0655490799554712
"101";"ISR";179357;71;744088;57;923445;-564731;-0,611548061876993
"102";"ITA";1433314;111;3342726;191;4776040;-1909412;-0,399789784005159
"103";"JAM";637682;64;10351;21;648033;627331;0,968054096010543
"104";"JEY";11725;5;42099;4;53824;-30374;-0,564320749108205
"105";"JOR";284081;68;1650238;83;1934319;-1366157;-0,706272853650303
"106";"JPN";460068;104;1221533;42;1681601;-761465;-0,45282144813187
"107";"KAZ";2140177;58;1734456;18;3874633;405721;0,104712110798623
"108";"KEN";278253;63;486728;13;764981;-208475;-0,272523108417072
"109";"KGZ";392952;44;116867;23;509819;276085;0,541535329205071
"110";"KHM";588570;45;34946;26;623516;553624;0,887906645539168
"111";"KIR";2232;19;1203;7;3435;1029;0,299563318777293
"112";"KNA";24102;36;1741;13;25843;22361;0,865263320821886
"113";"KOR";1159039;88;487790;28;1646829;671249;0,40760091059849
"114";"KWT";80616;52;975079;33;1055695;-894463;-0,847274070635932
"115";"LAO";750841;38;15951;6;766792;734890;0,958395497083955
"116";"LBN";344873;91;967174;30;1312047;-622301;-0,474297795734452
"117";"LBR";109900;42;38041;25;147941;71859;0,485727418362726
"118";"LBY";82002;62;235543;86;317545;-153541;-0,483525169660993
"119";"LCA";37010;37;4050;59;41060;32960;0,802727715538237
"120";"LIE";2054;28;12619;47;14673;-10565;-0,720029987051046
"121";"LKA";802677;73;18110;49;820787;784567;0,955871620773721
"122";"LSO";165538;26;1955;15;167493;163583;0,976655740836931
"123";"LTU";336490;53;67824;57;404314;268666;0,664498384918652
"124";"LUX";38308;46;142990;77;181298;-104682;-0,577402949839491
"125";"LVA";183282;50;143870;139;327152;39412;0,120469995598376
"126";"MAC";90044;13;187744;5;277788;-97700;-0,351707057180296
"127";"MAR";1489302;69;40716;18;1530018;1448586;0,946777096740038
"128";"MCO";16554;30;7094;2;23648;9460;0,400033829499323
"129";"MDA";547827;52;59402;19;607229;488425;0,804350582729086
"130";"MDG";113570;41;11014;4;124584;102556;0,82318756822706
"131";"MDV";1633;24;6669;22;8302;-5036;-0,60660081907974
"132";"MEX";5518713;69;517794;90;6036507;5000919;0,828445821399694
"133";"MHL";4200;12;1149;6;5349;3051;0,570386988222098
"134";"MKD";313636;49;75587;19;389223;238049;0,611600547757969
"135";"MLI";544845;56;218419;56;763264;326426;0,427671159651182
"136";"MLT";56907;38;37845;83;94752;19062;0,201177811550152
"137";"MMR";1374907;47;30036;4;1404943;1344871;0,957242393463649
"138";"MNE";81263;32;42491;29;123754;38772;0,313298964073889
"139";"MNG";38341;36;6704;30;45045;31637;0,702342102342102
"140";"MNP";1345;8;11940;12;13285;-10595;-0,797515995483628
"141";"MOZ";360350;50;164227;16;524577;196123;0,373868850521468
"142";"MRT";49397;42;72893;36;122290;-23496;-0,192133453266825
"143";"MSR";12831;16;551;10;13382;12280;0,917650575399791
"144";"MTQ";7662;16;33701;15;41363;-26039;-0,62952397069845
"145";"MUS";103212;35;12034;22;115246;91178;0,791159779948979
"146";"MWI";124095;37;104056;12;228151;20039;0,0878321813185127
"147";"MYS";955989;73;1252455;22;2208444;-296466;-0,1342420274184
"148";"MYT";3387;3;39277;3;42664;-35890;-0,841224451528221
"149";"NAM";104402;36;48407;83;152809;55995;0,3664378407031
"150";"NCL";2469;10;32073;16;34542;-29604;-0,857043599096752
"151";"NER";160092;48;146737;13;306829;13355;0,0435258727173768
"152";"NGA";696974;92;509064;9;1206038;187910;0,155807694284923
"153";"NIC";372362;50;19463;53;391825;352899;0,900654628979774
"154";"NIU";2844;7;240;7;3084;2604;0,844357976653696
"155";"NLD";484758;98;1176395;180;1661153;-691637;-0,416359600831471
"156";"NOR";116820;67;410439;168;527259;-293619;-0,556878118723436
"157";"NPL";886135;58;336921;6;1223056;549214;0,449050574953232
"158";"NRU";1217;15;430;10;1647;787;0,477838494231937
"159";"NZL";389302;84;530122;62;919424;-140820;-0,153161109564249
"160";"OMN";10393;35;344182;19;354575;-333789;-0,941377705704012
"161";"PAK";2275598;103;1507895;8;3783493;767703;0,202908529234757
"162";"PAN";83551;49;90205;88;173756;-6654;-0,0382950804576533
"163";"PER";895993;68;356136;77;1252129;539857;0,431151263168571
"164";"PHL";3241228;103;76190;90;3317418;3165038;0,954066686802809
"165";"PLW";1268;14;2141;8;3409;-873;-0,256086828982106
"166";"PNG";2417;29;11852;21;14269;-9435;-0,661223631649029
"167";"POL";2358593;78;361942;117;2720535;1996651;0,733918512351431
"168";"PRI";945609;39;131968;45;1077577;813641;0,755065299277917
"169";"PRK";53917;54;23710;20;77627;30207;0,389130070722816
"170";"PRT";1050091;81;474439;128;1524530;575652;0,377593094265118
"171";"PRY";501905;45;75011;17;576916;426894;0,739958676826436
"172";"PSE";1835057;55;129146;14;1964203;1705911;0,868500353578525
"173";"PYF";879;11;11523;19;12402;-10644;-0,858248669569424
"174";"QAT";13069;39;375448;33;388517;-362379;-0,932723664601549
"175";"REU";2084;12;54818;5;56902;-52734;-0,926751256546343
"176";"ROU";1939650;72;206222;76;2145872;1733428;0,807796550772833
"177";"RUS";5971887;102;5926396;148;11898283;45491;0,0038233247603877
"178";"RWA";255286;54;266047;5;521333;-10761;-0,0206413175455995
"179";"SAU";137808;68;3982995;17;4120803;-3845187;-0,933115948517801
"180";"SDN";915045;64;602722;15;1517767;312323;0,205777961966494
"181";"SEN";249255;63;105732;26;354987;143523;0,404304946378318
"182";"SGP";184594;59;1081893;15;1266487;-897299;-0,708494441711601
"183";"SHN";4014;9;108;2;4122;3906;0,947598253275109
"184";"SLB";2176;19;842;15;3018;1334;0,442014579191518
"185";"SLE";78020;45;23263;39;101283;54757;0,540633670013724
"186";"SLV";804975;47;22274;48;827249;782701;0,946149224719522
"187";"SMR";1445;15;2364;9;3809;-919;-0,241270674717774
"188";"SOM";1000959;62;13200;3;1014159;987759;0,973968578891476
"189";"SPM";187;8;463;3;650;-276;-0,424615384615385
"190";"SRB";493998;49;458693;76;952691;35305;0,0370581857076429
"191";"SSD";1303732;26;422848;13;1726580;880884;0,510190086761112
"192";"STP";19631;22;1055;6;20686;18576;0,897998646427536
"193";"SUR";158662;41;12280;4;170942;146382;0,856325537316751
"194";"SVK";191625;52;91710;93;283335;99915;0,352639102122929
"195";"SVN";77463;48;100220;153;177683;-22757;-0,128076405733807
"196";"SWE";199655;77;948540;197;1148195;-748885;-0,65222806230649
"197";"SWZ";45845;25;12955;17;58800;32890;0,559353741496599
"198";"SXM";13743;12;13534;33;27277;209;0,00766213293250724
"199";"SYC";17169;29;3709;26;20878;13460;0,644697767985439
"200";"SYR";3413822;79;392161;5;3805983;3021661;0,793923935025459
"201";"TCA";1612;11;9495;6;11107;-7883;-0,709732601062393
"202";"TCD";94505;49;269087;10;363592;-174582;-0,480159079407688
"203";"TGO";265889;43;125998;30;391887;139891;0,356967697320911
"204";"THA";639426;79;1809244;49;2448670;-1169818;-0,477736077135751
"205";"TJK";245197;46;155692;35;400889;89505;0,223266290668988
"206";"TKL";1113;6;251;4;1364;862;0,631964809384164
"207";"TKM";126419;45;101011;11;227430;25408;0,111717891219276
"208";"TLS";17542;13;2882;15;20424;14660;0,717783000391696
"209";"TON";32343;26;490;5;32833;31853;0,970151981238388
"210";"TTO";234106;55;26857;16;260963;207249;0,794170054758721
"211";"TUN";364817;60;22364;17;387181;342453;0,884477802371501
"212";"TUR";1648546;85;2559512;110;4208058;-910966;-0,216481331768716
"213";"TUV";1660;19;73;5;1733;1587;0,915753029428736
"214";"TZA";162810;55;239294;27;402104;-76484;-0,190209498040308
"215";"UGA";382798;55;896369;47;1279167;-513571;-0,401488625019251
"216";"UKR";3284771;76;2582792;30;5867563;701979;0,1196372326978
"217";"URY";196664;57;41459;17;238123;155205;0,651785001868782
"218";"USA";1451805;162;24925388;150;26377193;-23473583;-0,889919674166997
"219";"UZB";961627;54;584785;10;1546412;376842;0,243687969312188
"220";"VCT";36169;40;2155;15;38324;34014;0,887537835299029
"221";"VEN";1311410;68;689593;113;2001003;621817;0,310752657542243
"222";"VGB";3018;21;8943;21;11961;-5925;-0,495359919739152
"223";"VIR";1815;19;29493;20;31308;-27678;-0,884055193560751
"224";"VNM";1463376;69;29627;22;1493003;1433749;0,960312202989545
"225";"VUT";3869;23;1158;9;5027;2711;0,539287845633579
"226";"WLF";6189;6;503;5;6692;5686;0,849671249252839
"227";"WSM";63170;25;1813;21;64983;61357;0,944200790976101
"228";"YEM";434043;51;165268;12;599311;268775;0,448473330207522
"229";"ZAF";446475;83;1340960;150;1787435;-894485;-0,500429386243416
"230";"ZMB";167546;51;75048;29;242594;92498;0,381287253600666
"231";"ZWE";469438;53;127797;6;597235;341641;0,572037807563187
